messages,sentiment,session_index
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'kuliah', 'induksi', 'riset', 'buka', '[MHS]', '[MHS]', '[MHS]', '[MHS]', 'buka', 'ambil', 'kuliah', 'jadwal', 'krs', 'tanggal', 'agustus', 'terima kasih']",1.0,5
"['[MHS]', 'putus']",1.0,5
"['terima', 'kasih']",1.0,5
"['[MHS]', 'tolong', 'data', 'kelas', 'induksi', 'riset', '[MHS]', 'daftar', 'akademik', 'mohon', 'maaf', 'abar', 'terima kasih']",1.0,6
"['kabar', 'listnya', 'mohon', 'maaf', 'ganggu', '[DOSEN]', 'daftar', 'ikut', 'induksi', 'riset', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', 'terima', 'kasih']",1.0,6
"['[MHS]', 'catat', 'terima kasih', 'plus', 'nim']",1.0,6
"['kirim', 'permisi', 'maaf', 'ganggu', 'nama', 'nim', 'kelas', 'induksi', 'riset', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', 'terima', 'kasih', '[DOSEN]']",1.0,6
"['catat', '[MHS]', 'terima kasih']",1.0,6
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'maaf', 'kelas', 'induksi', 'riset', 'inputkan', 'manual', 'teman', 'teman', 'tervalidasi', 'dosen', 'terima', 'kasih']",1.0,7
"['[MHS]', 'semester', 'bantu', 'diinputkan', 'akademik', 'doc', 'doc', 'alhamdulillah', 'daftar', 'akademik', 'mudah', 'mudah', 'proses', 'aamiin', 'nuwunsewu', '[DOSEN]', 'mohon', 'izin', 'daftar', 'mahasiswa', 'kelas', 'induksi', 'riset', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', '[MHS]', 'monggo', 'set', 'default', 'rabu', 'jam', 'matursuwun', 'sanged', '[MHS]', 'tolong', 'bantu', 'masuk', 'excel', 'akademik', 'minta', 'dlm', 'format', 'excel', 'terima kasih']",1.0,7
"['dokumen', 'lampir', 'doc']",1.0,7
"['terima kasih', '[MHS]']",1.0,7
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'label', 'kelas', 'positif', 'negatif', 'latih', 'pakar', 'bahasa', 'iya', 'ambil', 'voting', 'responden', 'polling', 'minimal', 'responden', 'terima', 'kasih']",1.0,8
"['[MHS]', 'kondisi', 'pandemi', 'ijinkan', 'opsi', 'minimal', 'resposden', 'teman', 'buat', 'google', 'form', 'voting', 'mohon', 'maaf', 'balas']",1.0,8
"['terima', 'kasih']",1.0,8
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'polling', 'teman', 'teman', 'latih', 'latih', 'manual', 'iya', 'terima', 'kasih']",-1.0,9
"['[MHS]', 'bagi', 'sekian', 'sekian', 'sekian', 'siap', 'dan terus', 'mohon', 'maaf']",1.0,10
"['terima', 'kasih']",1.0,10
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'bimbing', 'skripsi', 'mail', 'terima', 'kasih']",1.0,11
"['[MHS]', 'ulas']",1.0,11
"['terima', 'kasih']",1.0,11
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', '[MHS]', 'angkat', 'kirim', 'praprosal', 'skripsi', 'email', 'terima kasih']",-1.0,12
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'kelas', 'induksi', 'riset', 'siam', 'iya', 'terima', 'kasih']",1.0,13
"['[MHS]', 'tunggu', 'informasi', 'akademik', 'besok', 'coba', 'prodi']",1.0,13
"['terima', 'kasih']",1.0,13
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'perihal', 'dosen', 'bimbing', '[DOSEN]', '[DOSEN]', 'iya', 'filkom', 'apps', '[DOSEN]', 'surat', 'tugas', 'proses', 'terima', 'kasih']",1.0,14
"['[MHS]', 'dosen sudah', 'full', 'kuota', 'dosen bimbing', 'dosen', 'okey', 'semangat', 'fokus', 'mudah']",1.0,14
"['terima', 'kasih']",1.0,14
"['dear', 'my', 'student', 'batas', 'unggah', 'proposal', 'tanggal', 'ijinkan', 'unggah', 'draft', 'proposal', 'filkom', 'app', 'tolong', 'beritahu', 'terima kasih']",1.0,15
"['terima', 'kasih']",1.0,15
"['[MHS]', 'bantu', 'mahasiswa', 'kelas', 'induksi', 'riset', 'daftar', 'excel', 'kriteria', 'mahasiswa', 'masuk', 'kelas', 'mahasiswa', 'kategori', 'bantu', 'ukt', 'persen', 'boleh', 'ambil', 'mata kuliah', 'skripsi', 'prodi', 'terima kasih']",1.0,16
"['iya', 'mohon', 'maaf', 'milik', 'kontak', 'kontak', 'angkat']",1.0,16
"['[MHS]', 'coba', 'suruh', 'join', 'grup', 'kelas', 'induksi', 'riset', 'chat', 'whatsapp', 'com', 'hceq3iigvoqclydbqreal0', 'angkat', 'grup']",1.0,16
"['maaf', 'angkat', 'atas', 'iya', 'angkat', 'lebih', 'sks']",1.0,16
['[MHS]'],1.0,16
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', '[MHS]', 'ambil', 'induksi', 'riset', 'sks', 'penuh', 'terima', 'kasih']",1.0,17
"['[MHS]', 'catat', 'terima kasih']",1.0,17
"['this', 'message', 'deleted', 'this', 'message', 'deleted', 'this', 'message', 'deleted', '[MHS]', 'p0', 'doc', 'doc', 'doc', 'siap', 'p1', 'syarat', 'minimal', 'logbook', '3x', 'dosen bimbing', 'doc', 'tolong', 'minimal', 'logbook', '[DOSEN]', 'p0', 'p0', 'ruang', 'lingkup', 'skripsi', 'detail', 'dasar', 'tentu', 'objek', 'akar', 'masalah', 'base', 'solusi', 'pilih', 'metode', 'metodologi', 'power point', 'video', 'presentasi', 'p0', 'presentasi', 'power point', 'p0', 'durasi', 'minimal', 'menit', 'menit', 'unggah', 'google', 'drive', 'link', 'public', 'email', 'email', 'dosen bimbing', 'subjek', 'presentasi', 'p0', 'daring', 'audio', 'record', 'wajah', 'wajib', 'tools', 'obs', 'cek', 'anytime', 'filkom', 'apps', 'aug', 'oktober', 'target', 'capai', 'p1', 'indikator', 'capai', 'p1', 'selesai', 'dahulu', 'landas', 'pustaka', 'metodologi', 'ancang', 'power point', 'progres', 'manual', 'rancang', 'skenario', 'uji', 'demo', 'program', 'manual', 'minimal', 'program', 'console', 'video', 'presentasi', 'p1', 'presentasi', 'power point', 'p1', 'durasi', 'minimal', 'menit', 'menit', 'unggah', 'google', 'drive', 'link', 'public', 'email', 'email', 'dosen bimbing', 'subjek', 'presentasi', 'p1', 'daring', 'audio', 'record', 'wajah', 'wajib', 'tools', 'obs', 'cek', 'anytime', 'filkom', 'apps', 'oktober', 'target', 'capai', 'p2', 'maksimal', 'indikator', 'capai', 'p2', 'selesai', 'dahulu', 'landas', 'pustaka', 'metodologi', 'ancang', 'implementasi', 'uji', 'analisis', 'skenario', 'uji', 'fix', 'jurnal', 'tutup', 'lampir', 'lampir', 'power point', 'progres', 'manual', 'hasil', 'uji', 'analisis', 'demo', 'program', 'sesuai', 'skenario', 'uji', 'video', 'presentasi', 'p2', 'presentasi', 'power point', 'p2', 'durasi', 'minimal', 'menit', 'menit', 'unggah', 'google', 'drive', 'link', 'public', 'email', 'email', 'dosen bimbing', 'subjek', 'presentasi', 'p2', 'daring', 'audio', 'record', 'wajah', 'wajib', 'tools', 'obs', 'minimal', 'indikator', 'capai', 'p2', 'selesai', 'dahulu', 'landas', 'pustaka', 'metodologi', 'ancang', 'implementasi', 'uji', 'analisis', 'power point', 'progres', 'manual', 'hasil', 'uji', 'analisis', 'demo', 'program', 'sesuai', 'skenario', 'uji', 'video', 'presentasi', 'p2', 'presentasi', 'power point', 'p2', 'durasi', 'minimal', 'menit', 'menit', 'unggah', 'google', 'drive', 'link', 'public', 'email', 'email', 'dosen bimbing', 'subjek', 'presentasi', 'p2', 'daring', 'audio', 'record', 'wajah', 'wajib', 'tools', 'obs', 'cek', 'anytime', 'filkom', 'apps', 'desember', 'daftar', 'seminar hasil', 'uji', 'aug', 'januari']",1.0,18
"['terima', 'kasih', '[DOSEN]', 'informasi']",1.0,18
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'p1', 'chat', 'kemarin', 'p1', 'selesai', 'p1', 'selesai', 'codingan', 'confunsion', 'matrix', 'dokumen', 'selesai', 'codingan', 'jalan', 'klasifikasi', 'evaluasi', 'terima', 'kasih', '[DOSEN]']",1.0,19
"['[MHS]', 'selesai', 'codingan', 'confunsion', 'matrix', 'lanjut']",1.0,19
"['terima', 'kasih', 'informasi']",1.0,19
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'bimbing', 'skripsi', 'mail', 'terima', 'kasih']",1.0,20
"['[MHS]', 'catat', 'ulas']",1.0,20
"['terima', 'kasih']",1.0,20
"['maaf', 'ganggu', '[DOSEN]', 'abar', 'minggu', 'bimbing', 'skripsi', 'mail', 'terima', 'kasih']",1.0,21
"['mohon', 'tunggu', '[MHS]']",1.0,21
"['terima', 'kasih']",1.0,21
"['[MHS]', 'tolong', 'video', 'presentasi', 'p1', '[DOSEN]', 'suantay', 'minimal', 'logbooknya', 'beliau', 'tuju', 'beliau', 'tunggu', 'ulas', 'tolong', 'power point', 'p1', 'contoh', 'link', 'kelas', 'induksi', 'riset', 'video', 'presentasi', 'p1', 'kirim', 'email', 'p0', 'kemarin', 'terima kasih']",1.0,22
"['terima', 'kasih']",1.0,22
"['[MHS]', 'ulas']",1.0,23
"['terima', 'kasih']",1.0,23
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'bimbing', 'presentasi', 'vidio', 'p1', 'email', 'subjek', 'video', 'presentasi', 'p1', 'daring', 'dosen bimbing', 'terima', 'kasih']",1.0,24
"['[MHS]', 'catat', 'inbox']",1.0,24
"['terima', 'kasih']",1.0,24
"['mohon', 'maaf', 'ganggu', '[DOSEN]', '[DOSEN]', 'turnitin', 'capai', 'batas', 'siswa', 'kelas', 'iya', 'terima', 'kasih']",-1.0,25
"['[MHS]', 'mahasiswa', 'lulus', 'daftar', 'turnitin', 'ub', 'batas', 'kuota', 'user', 'turnitinnya', 'peluk', 'user', 'agreement', 'ub', 'turnitin', 'cek', 'plagiasinya', 'user', 'pwd', '[MHS]', 'tolong', 'mahasiswa', 'butuh', 'bantu', 'cek', 'plagiasianya', 'tolong', '[MHS]', 'bantu', 'cek', 'account', '[MHS]', 'koordinator', 'cek', 'plagiasinya']",1.0,26
"['maaf', 'uji akhir semester', 'induksi', 'riset', 'kelas', 'turnitin', 'iya']",1.0,26
"['[MHS]', 'user', 'pwd', 'turnitin', 'user', 'pwd', 'tunjuk', 'cek', 'plagiasi', 'login', 'klik', 'instructor', 'pilih', 'student', 'klik', 'class', 'name', 'klik', 'resubmit', 'cek', 'plagiasi', 'dokumen', 'cek', 'plagiasi', 'selesai', 'uji akhir semester', 'induksi', 'riset', '[MHS]']",1.0,26
"['iya', 'uji akhir semester', 'induksi', 'riset']",1.0,26
"['[MHS]', 'uji akhir semester', 'induksi', 'riset', 'kait', 'skripsi']",1.0,26
"['terima', 'kasih']",1.0,26
"['doc', '[MHS]']",1.0,26
"['[MHS]', 'p2', 'tolong', 'kirim', 'progres', 'selesai', 'timbang', 'progres', 'bagus', 'progres', 'ijinkan', 'izin', 'p2', 'dosen bimbing', 'daftar', 'seminar hasil', 'sidang', 'filkom', 'app', 'ubah', 'jadwal', 'desember', 'p2', 'ijinkan', 'progres', 'email', 'fokus', 'daftar', 'seminar hasil', 'sidang', 'tanggal', 'coba', 'fokus', 'izin', 'isi', 'logbook', 'dosen bimbing', 'daftar', 'seminar hasil', 'sidang', 'syarat', 'logbook', 'dosen bimbing', 'terima kasih', 'doc']",1.0,27
"['maaf', 'vidio', 'klik', 'stop', 'vidio', 'vidio', 'pisah', 'unggah', 'gfrom', 'mensupport']",1.0,27
"['[MHS]', 'ijinkan', 'silah', 'coba', 'unggah', 'ijinkan', 'link', 'drive', 'kirim', 'email']",1.0,27
"['terima', 'kasih', 'maaf', '[DOSEN]', 'ganggu', 'abar', 'kirim', 'uji akhir semester', 'induksi', 'email', 'terima', 'kasih']",-1.0,27
"['[MHS]', 'terima', 'filenya']",1.0,28
"['terima', 'kasih']",1.0,28
"['maaf', 'ganggu', '[DOSEN]', 'akurasi', 'beberapa', 'jomplang', 'hasil', 'hasil', 'akurasi', 'hasil', 'akurasi', 'iya', 'turnitin', 'deadline', 'mahasiswa', 'seminar hasil', 'mahasiswa', 'induksi', 'riset', 'iya', 'terima', 'kasih', '[DOSEN]']",1.0,29
"['[MHS]', 'ulas', 'akurasi', 'beberapa', 'jomplang', 'hasil', 'hasil', 'akurasi', 'hasil', 'akurasi', 'iya', 'coba', 'hapus', 'klasifikasi', 'coba', 'akurasi', 'turnitin', 'deadline', 'mahasiswa', 'seminar hasil', 'mahasiswa', 'induksi', 'riset', 'iya', 'cek', 'turnitin', 'mahasiswa', 'seminar hasil', 'p2']",1.0,29
"['terima', 'kasih']",1.0,29
"['[MHS]', 'draft', 'dokumen', 'skripsi', 'diprogresskan']",1.0,30
"['[DOSEN]', 'maaf', 'coba', 'stuck', 'iya']",1.0,30
"['[MHS]', 'skenario', 'uji', 'selesai']",1.0,30
"['dokumen', 'kirim', 'tunggu', 'selesai', 'iya']",1.0,30
"['tunggu', 'skenario', 'uji', '[MHS]']",1.0,30
"['uji', 'nilai', 'fold', 'cross', 'validation', 'uji', 'pengaruh', 'nilai', 'threshold', 'seleksi', 'fitur', 'information']",1.0,30
"['[MHS]', 'lanjut', 'mudah', 'mudah', 'daftar', 'seminar hasil', 'sidang']",1.0,31
"['terima', 'kasih']",1.0,31
"['[MHS]', 'dokumen']",1.0,31
"['tahap', 'coba']",1.0,31
"['[MHS]', 'lanjut']",1.0,31
"['terima', 'kasih']",1.0,31
"['alhamdulillah', 'panjang', 'daftar', 'seminar hasil', 'uji', 'aug', 'desember']",1.0,31
"['selesai', 'desember']",1.0,31
"['aamiin', 'robbal', 'aalamiin']",1.0,31
"['maaf', 'ganggu', '[DOSEN]', 'bingung', 'true', 'positive', 'beberapa', 'baca', 'codingan', 'codingan', 'persis', 'manual', 'terima', 'kasih']",1.0,32
"['[MHS]', 'coba', 'tracking', 'kodingnya', 'barangkali', 'penghitungna', 'dinamis', 'manual']",1.0,32
"['terima', 'kasih']",1.0,32
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'hasil', 'akurasi', 'terima', 'kasih']",1.0,33
['[MHS]'],1.0,33
['doc'],1.0,33
"['[MHS]', 'simpul', 'abstrak', 'tinggi', 'nilai', 'threshold', 'skenario', 'uji', 'selesai', 'hasil', 'tinggi', 'uji', 'kombinasi', 'nilai', 'akurasi', 'tinggi', 'simpan', 'pasang', 'fold', 'latih', 'uji', 'uji', 'butuh', 'usaha', 'malam', 'butuh', 'tuju', 'dosen bimbing', 'daftar', 'seminar hasil']",1.0,33
"['threshold', 'iya', 'uji', 'maaf', 'skm', 'verifikasi', 'akademik']",1.0,33
"['[MHS]', 'coba', 'fokus', 'daftar', 'seminar hasil', 'sidang', 'filkomapp', 'mudah', 'mudah', 'susul']",1.0,33
"['mohon', 'maaf', 'ganggu', '[DOSEN]', '[MHS]', 'praproposal', 'kirim', 'email', 'tuju', 'kuota', 'jadi', 'bimbing', 'sisa', 'terima', 'kasih']",1.0,34
"['silah', 'diupload', 'filkom', '[MHS]', 'hasil', 'ulas', 'adri', 'doc']",1.0,34
"['terima kasih', '[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'praproposal', 'skripsi', 'submit', 'filkom', 'apps', 'terima', 'kasih']",1.0,34
"['[MHS]', 'doc', 'doc', 'tuju']",1.0,34
"['terima', 'kasih']",1.0,34
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'abar', 'kemarin', 'daftar', 'seminar hasil', 'berfikir', 'lanjut', 'semester', 'revisi', 'revisi', 'dokumen', 'terima', 'kasih']",1.0,35
"['[MHS]', 'okey', 'lanjut', 'kerja', 'tingkat', 'akurasi', 'mudah', 'aamiin']",1.0,35
"['aamiin', 'iya', 'rabbal', 'aalaamiin', 'terima', 'kasih']",1.0,35
"['maaf', 'ganggu', '[DOSEN]', 'abar', 'bimbing', 'skripsi', 'mail', 'terima', 'kasih']",1.0,36
"['[MHS]', 'catat', 'ulas']",1.0,36
"['terima', 'kasih']",1.0,36
"['mohon', 'maaf', '[DOSEN]', 'izin', 'tuju', 'marji', 'merespon', 'iya', 'terima', 'kasih']",1.0,37
"['[MHS]', 'tunggu']",1.0,37
"['terima', 'kasih']",1.0,37
"['mohon', 'maaf', 'ganggu', '[DOSEN]', 'dosen', 'bimbing', 'verifikasi', 'beliau', 'bilang', 'informasi', 'lebih', 'deadline', 'evaluasi', 'iya', 'terima', 'kasih']",1.0,38
"['doc', '[MHS]', 'notifnya', 'filkom', 'app', 'doc', 'coba', 'tolong', 'beliau', 'tuju', 'filkom', 'app', 'mudah', 'mudah', 'mmg', 'dosen bimbing', 'lambat', 'batas', 'evaluasi', 'solusi', 'semester', '[MHS]', 'fast', 'track', 'worst', 'casenya', 'p0', 'p0', 'p1', 'p2', 'dlm', 'minggu', 'mudah']",1.0,38
"['terima', 'kasih']",1.0,38
"['maaf', 'ganggu', '[DOSEN]', 'abar', 'kabar', 'marji', 'filkom', 'apps', 'otomatis', 'tercancel', 'terima', 'kasih']",1.0,39
"['[MHS]', 'tunggu', 'coba', 'besok', 'rabu', 'pagi', 'jam', 'dihub', 'beliau']",1.0,39
"['terima', 'kasih']",1.0,39
"['maaf', 'ganggu', '[DOSEN]', 'abar', 'minggu', 'bimbing', 'skripsi', 'mail', 'terima', 'kasih']",1.0,40
"['[MHS]', 'mohon', 'tunggu', 'fokus', 'ulas', 'sidang', 'yudisium']",1.0,40
"['terima', 'kasih']",1.0,41
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'bimbing', 'skripsi', 'email', 'terima', 'kasih']",1.0,42
"['[MHS]', 'mohon', 'tunggu', 'ulas']",1.0,42
"['terima', 'kasih']",1.0,42
"['maaf', 'ganggu', '[DOSEN]', 'abar', 'minggu', 'bimbing', 'skripsi', 'mail', 'terima', 'kasih']",1.0,43
"['mohon', 'tunggu', '[MHS]']",1.0,43
"['terima', 'kasih']",1.0,43
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'kirim', 'proposal', 'mail', 'terima kasih']",1.0,44
"['[MHS]', 'tunggu', 'ulas']",1.0,44
"['terima', 'kasih']",1.0,44
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'perihal', 'angkat', 'ambil', 'skripsi', 'smt', 'aju', 'proposal', 'filkom', 'apps', 'mensubmit', 'proposal', 'email', 'revisi', 'submit', 'proposal', 'filkom', 'apps', 'timeline', 'skripsi', 'reply', 'unggah', 'praproposal', 'filkom', 'apps', 'p0', 'email', 'power', 'poin', 'vidio', 'presentasi', 'iya', 'p0', 'timeline', 'krs', 'skripsi', 'terima kasih']",1.0,45
"['[MHS]', 'ralat', 'submit', 'proposal', 'sesuai', 'tanggal', 'set', 'akademik', 'tolong', 'pantau', 'filkomapp', 'power point', 'ulas', 'fix', 'silahkam', 'video', 'presentasi', 'p0', 'kirim', 'dosen bimbing', 'fast', 'track', 'tanggal', 'isi', 'log', 'ikut', 'tanggal', 'set', 'akademik', 'tanggal']",1.0,45
"['terima kasih', 'informasi']",1.0,45
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'bimbing', 'kirim', 'power point', 'p0', 'mail', 'terima kasih']",1.0,46
"['[MHS]', 'ulas']",1.0,46
['terima kasih'],,46
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'maaf', 'bimbing', 'minggu', 'kemarin', 'latih', 'uji', 'bimbing', 'minggu', 'etik', 'uji', 'latih', 'tambah', 'latih', 'uji', 'hold', 'out', 'uji', 'validasi', 'fold', 'cross', 'lipat', 'fold', 'bagi', 'filkom', 'apps', 'praproposal', 'filkom', 'apps', 'batal', 'iya', 'tereset', 'otomatis', 'batal', 'praproposal', 'filkom', 'apps', 'sistem', 'jadi', 'dosen', 'bimbing', 'iya', 'takut', 'pilih', 'batal', 'terima', 'kasih']",1.0,47
"['[MHS]', 'maaf', 'bimbing', 'minggu', 'kemarin', 'latih', 'uji', 'bimbing', 'minggu', 'etik', 'uji', 'latih', 'tambah', 'latih', 'uji', 'hold', 'out', 'uji', 'validasi', 'fold', 'cross', 'lipat', 'fold', 'bagi', 'nilai', 'uji', 'filkom', 'apps', 'praproposal', 'filkom', 'apps', 'batal', 'iya', 'tereset', 'otomatis', 'batal', 'baik', 'dokumen', 'unggah', 'proposal', 'no', 'batal', 'praproposal', 'filkom', 'apps', 'sistem', 'jadi', 'dosen', 'bimbing', 'iya', 'takut', 'pilih', 'batal', 'gantung', 'kuota', 'cegah', 'covid', 'ikhtiyar', 'optimal', 'physical', 'social', 'distance', 'hindar', 'minimal', 'kumpul', 'mahasiswa', 'org', 'hindar', 'kelompok', 'stay', 'home', 'kos', 'batas', 'kecuali', 'urgent', 'pakai', 'masker', 'mudik', 'gera', 'hidup', 'sehat', 'bersih', 'dan lain', 'lahir', 'tawakal', 'batin', 'moga', 'sukses', 'skripsi', 'moga', 'hindar', 'bahaya', 'sakit', 'wabah', 'aamiin', 'mohon', 'maaf', 'khilaf', 'jaga', 'sikap', 'sopan', 'santun', 'sejuk', 'terima kasih', '[DOSEN]']",1.0,47
"['terima', 'kasih']",1.0,47
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', 'abar', 'minggu', 'kirim', 'email', 'subjek', 'reply', 'power point', 'p0', 'proposal', 'skripsi', 'terima', 'kasih']",1.0,48
"['[MHS]', 'reply']",1.0,48
"['terima', 'kasih']",1.0,48
"['selamat', 'siang', '[DOSEN]', 'mohon', 'maaf', 'ganggu', 'kenal', 'nama', '[MHS]', 'teknik informatika', 'mahasiswa', 'bimbing', 'skripsi', 'kait', 'laksana', 'p0', 'skripsi', 'laksana', 'p0', 'dosen', '[DOSEN]', 'vidio', 'mail', 'kait', 'dosen', 'bimbing', 'iya', 'mekanisme', 'bimbing', 'p0', 'daring', 'terima', 'kasih', 'wassalamualaikum']",-1.0,49
"['iya', 'mbak']",-1.0,50
"['maaf', 'vidio', 'p0', 'bimbing', 'kirim', 'iya']",-1.0,50
"['selamat', 'siang', '[DOSEN]', '[MHS]', 'teknik informatika', 'filkom', 'apps', 'verifikasi', 'proposal', 'logbook', 'bimbing', 'tunggu', 'tuju', 'sedia', 'validasi', 'terima', 'kasih']",1.0,51
['doc'],1.0,51
"['terima', 'kasih']",1.0,51
"['doc', 'selamat', 'siang', '[DOSEN]', 'bimbing', 'skripsi', 'dokumen', 'skripsi', 'lampir', 'terima', 'kasih', '[DOSEN]']",-1.0,52
"['iya', 'mbak', 'baca']",1.0,53
"['selamat', 'siang', '[DOSEN]', 'dokumen', 'skripsi', 'kirim', 'rabu', 'minggu', 'masuk', 'terima', 'kasih']",-1.0,54
"['selamat', 'siang', '[DOSEN]', 'bimbing', 'masuk', 'skripsi', 'dokumen', 'lampir', 'terima', 'kasih', 'doc']",-1.0,55
"['selamat', 'siang', '[DOSEN]', 'bimbing', 'terima', 'kasih', '[DOSEN]']",-1.0,56
"['selamat', 'siang', '[DOSEN]', 'dokumen', 'skripsi', 'kirim', 'senin', 'minggu', 'masuk', 'terima', 'kasih']",-1.0,57
"['iya', 'mbak']",-1.0,58
"['[DOSEN]', 'mohon', 'maaf', 'ganggu', '[MHS]', 'nim', 'bimbing', 'presentasi', 'p1', 'judul', 'sentimen', 'analisis', 'layan', 'produk', 'indihome', 'information', 'metode', 'nearest', 'neighbor', 'presentasi', 'drive', 'vidio', 'p1', 'lampir', '[LINK]', 'terima', 'kasih', 'wassalamualaikum']",-1.0,59
"['iya', 'mbak']",1.0,60
"['mohon', 'maaf', 'ganggu', '[DOSEN]', '[MHS]', 'kirim', 'vidio', 'p0', 'bimbing', 'media', 'iya', 'terima', 'kasih', 'wassalamualaikum']",-1.0,61
"['selamat', 'siang', '[DOSEN]', '[MHS]', 'teknik informatika', 'filkom', 'apps', 'verifikasi', 'p2', 'tunggu', 'tuju', 'sedia', 'validasi', 'terima', 'kasih']",-1.0,62
