messages,sentiment,session_index
"['lampir', 'uji', 'iya']",1,16
"['iya', 'sebentar', 'lampir', 'revisi', 'nilai', 'document', 'omitted']",1,16
"['maaf', 'selesai', 'kelas']",1,16
['iya'],1,16
"['revisi', 'latar', 'uji', 'iya', 'kemarin', 'coba', 'cari', 'metode', 'klasifikasi', 'klasifikasi', 'naive', 'bayes', 'knn', 'hasil', 'naive', 'bayes', 'referensi']",1,16
"['banding', 'metode', 'naive', 'bayes', 'knn', 'latar', 'iya']",1,16
"['iya', 'coba', 'cari', 'referensi', 'iya']",1,16
"['terima', 'kasih']",1,16
[],1,16
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'lampir', 'revisi', 'skripsi', 'banding', 'metode', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1,17
"['waalaijumsalam', 'sore', 'cek', 'iya', 'maaf', 'merespon', 'hari', 'full', 'pagi', 'rapat']",1,17
['iya'],1,17
"['cek', 'sila', 'proses', 'tahap', 'iya', 'iya', 'dosen', 'revisi']",1,17
"['iya', 'iya', 'perihal', 'turnitin', 'enroll', 'code', 'expired']",1,17
"['turnitin', 'pakai', 'class', 'enrollment', 'key', 'coba', 'iya']",1,17
"['terima', 'kasih']",1,17
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'dokumen', 'skripsi', 'periksa', 'dosen', 'tuju', 'beliau', 'mohon', 'digital', 'dosen', 'bimbing', 'skripsi', 'lanjut', 'proses', 'lampir', 'dokumen', 'skripsi', 'terima', 'kasih', 'wassalamualaikum']",1,18
"['nyata', 'orisinalitas', 'iya']",1,18
"['iya', 'document', 'omitted']",1,18
"['sebentar', 'iya', 'mbak']",1,18
[],1,18
"['mohon', 'maaf', 'materainya', 'ditandatangani', 'materai', 'discan', 'tempel']",1,18
"['baik', 'materai']",1,18
"['document', 'omitted', 'tanda tangan', 'iya']",1,18
"['terima', 'kasih']",1,18
[],1,18
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'kemarin', 'coba', 'turnitin', 'jurnal', 'enroll', 'class', 'hasil', 'kena', 'skripsi', 'dahulu', 'analisis', 'full', 'kena', 'plagiasi', 'iya', 'baik', 'turnitin', 'jurnal', 'terima', 'kasih', 'wassalamualaikum']",1,19
"['exclude', 'iya', 'sebentar', 'iya', 'giat']",1,19
"['terima', 'kasih', 'iya']",1,19
"['turnitin', 'exclude', 'sumber', 'milik', 'iya', 'sila', 'cek', 'mohon', 'maaf', 'periksa']",1,20
"['iya', 'terima', 'kasih']",1,20
[],1,20
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'mohon', 'tuju', 'dosen', 'bimbing', 'lanjut', 'proses', 'daftar', 'yudisium', 'harap', 'tandatangan', 'digital', 'form', 'sc2', 'sc2', 'sc2', 'poin', '3a', '4a', 'terima', 'kasih', 'wassalamualaikum']",-1,21
"['fitur', 'ekstraksi', 'hasil', 'seleksi', 'fitur', 'banyak', 'fitur', 'fitur', 'coba', 'batas', 'fitur', 'atas', 'seleksi', 'fitur', 'atas', 'hasil', 'akurasi', 'seleksi', 'fitur', 'tabel', 'uji', 'lampir', 'mohon', 'maaf', 'ganggu', 'terima', 'kasih']",-1,22
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'hubung', 'proses', 'unggah', 'makalah', 'skripsi', 'daftar', 'yudisium', 'mohon', 'tuju', 'dosen', 'bimbing', 'menandatangani', 'form', 'sc2', 'form', 'tuju', 'revisi', 'sc2', 'form', 'tuju', 'unggah', 'makalah', 'skripsi', 'sc2', 'poin', '3a', '4a', 'form', 'syarat', 'yudisium', 'lampir', 'form', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1,23
"['astagfirullah', 'sebentar', 'iya']",1,23
['iya'],1,23
"['masuk', 'siet', 'sanggup', 'tinggal', 'terjemah', 'bantu', 'cek']",1,23
"['jurnal', 'bentuk', 'bahasa', 'inggris', 'iya']",1,23
"['konferensi', 'internasional', 'ada', 'filkom', 'iya', 'bentuk', 'bahasa', 'inggris']",1,23
"['iya', 'sanggup']",1,23
"['tangan', 'siet', 'iya', 'bantu', 'cek', 'tulis']",1,23
['iya'],1,23
"['disubmit', 'siet', 'cek', 'iya']",1,23
"['iya', 'terima', 'kasih']",1,23
[],1,23
"['draft', 'siet', 'ready']",1,24
"['mohon', 'maaf', 'isi', 'pindah', 'contoh', 'siet', 'contoh', 'jptiik']",1,24
"['pindah', 'iya', 'terjemah', 'benah', 'koreksi', 'deadlinenya', 'agustus']",1,24
"['iya', 'pindah', 'lampir', 'draft', 'siet', 'document', 'omitted', 'mohon', 'maaf', 'tunggu']",1,24
"['besok', 'cek', 'ulang', 'iya', 'agustus', 'terima', 'kasih', 'iya']",1,24
"['iya', 'terima', 'kasih']",1,24
[],1,24
"['selamat', 'pagi', 'mohon', 'maaf', 'butuh', 'ngecek', 'minggu', 'kemarin', 'padat', 'betul', 'iya', 'komen', 'tulis', 'sitasinya', 'sesuai', 'contoh', 'tulis', 'sitasi', 'bentuk', '', '', 'dan terus', 'daftar', 'referensi', 'tulis', 'dasar', 'abjad', 'muncul', 'angka']",1,25
"['iya', 'baik', 'terima', 'kasih']",1,25
['sip'],1,25
[],-1,26
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'perihal', 'jurnal', 'siet', 'kemarin', 'revisi', 'lampir', 'hasil', 'revisi', 'periksa', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1,27
"['cek', 'iya']",1,27
"['terima', 'kasih']",1,27
"['mohon', 'maaf', 'besok', 'pagi', 'tolong', 'selesai', 'koreksi', 'paper', 'iya', 'kemarin']",1,28
"['iya', 'besok']",1,28
"['terima', 'kasih']",1,28
['iya'],1,28
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'perihal', 'jurnal', 'siet', 'ecek', 'jurnal', 'terima', 'kasih', 'wassalamualaikum']",1,29
"['terima', 'kasih', 'selesai', 'disubmit']",1,29
"['terima', 'kasih']",1,29
"['document', 'omitted', 'cek', 'iya', 'tolong', 'nomor', 'rumus', 'akurasi', 'recall', 'precission']",1,29
"['iya', 'terima', 'kasih']",1,29
"['betul', 'sila', 'disubmit', 'iya', 'dosen', 'co', 'author', 'submission']",1,29
['iya'],1,29
"['document', 'omitted', 'media', 'omitted']",1,30
"['iya', 'unggah', 'kemarin', 'failed', 'unggah', 'filenya', 'coba', 'terima', 'kasih']",1,30
"['masalah', 'iya', 'tempe']",1,30
"['iya', 'hehe', 'coba', 'unggah', 'dokumen', 'siet', 'error', 'tulis', 'minimal', 'halaman', 'isi', 'halaman', 'baca', 'halaman', 'iya', 'terima', 'kasih']",1,30
"['coba', 'kirim', 'dokumen', 'baru', 'word', 'iya', 'coba', 'unggah']",1,30
[],1,30
"['maaf', 'ganggu', 'pekan', 'kemarin', 'coba', 'utak', 'atik', 'aneh', 'aneh', 'dokumen', 'page', 'break', 'section', 'breaknya', 'coba', 'utak', 'atik', 'mentok', 'deteksi', 'halaman', 'alternatif', 'coba', 'copy', 'paste', 'contoh', 'iya', 'ctrl', 'copy', 'paste', 'section', 'iya', 'coba', 'betul', 'iya']",1,31
"['iya', 'betul']",1,31
"['iya', 'coba', 'unggah', 'hasil', 'iya']",1,31
"['coba', 'baik', 'copy', 'paste', 'section', 'contoh', 'coba', 'unggah', 'errornya', 'baca', 'halaman']",1,31
"['aneh', 'iya', 'unggah', 'paper', 'pakai', 'word', 'coba', 'iya', 'uji', 'masuk', 'buku', 'iya']",1,31
"['masuk', 'halaman', 'isi', 'iya', 'baca', 'halaman']",1,31
['seharunsya'],1,31
"['iya', 'coba', 'baik', 'ulang', 'error']",1,31
"['coba', 'solusi', 'halaman', 'coba', 'referensi', 'kait', 'preprocessing', 'tata', 'contoh', 'contoh', 'masuk', 'tabel']",1,31
"['iya', 'baik']",1,31
['iya'],1,31
"['tabel', 'halaman', 'bawah', 'tulis', 'error', 'unggah', 'dokumen', 'baca', '3halaman']",1,31
"['sungguh', 'aneh', 'coba', 'kirim', 'baru', 'iya', 'filenya']",1,31
['sebentar'],1,31
"['besok', 'intip', 'iya', 'insyallah']",1,31
"['iya', 'terima', 'kasih']",1,31
"['mentok', 'filenya', 'tambah', 'halaman', 'kirim', 'filenya', 'panitia', 'tolong', 'bantu', 'tunggu', 'respons', 'internal', 'tunggu', 'tanggal', 'panitia', 'respons', 'barangkali', 'utek', 'utek', 'sila', 'iya']",1,32
"['terima', 'kasih', 'coba', 'utek', 'utek', 'maaf', 'iya', 'repot', 'coba', 'coba', 'unggah', 'tunggu', 'respon', 'panitia']",1,32
"['paralel', 'hasil']",1,32
"['informasi', 'jurnal', 'hasil', 'diupload', 'terima', 'kasih', 'bantu', 'mohon', 'maaf', 'repot', 'ganggu']",1,32
"['lho', 'iya', 'alhamdulillah', 'apa', 'dokumen']",1,32
"['iya', 'dokumen', 'rapihkan', 'edit', 'tipo', 'tipo']",1,32
"['oke', 'alhamdulillah', 'iya']",1,32
"['iya', 'alhamdulillah', 'hehe', 'terima', 'kasih', 'iya', 'bantu', 'bingung']",1,32
['alhamdulillah'],1,32
['iya'],1,32
"['maaf', 'pesan', 'tenggelam', 'besok', 'besok', 'jam', 'balas', 'bagus', 'hasil', 'tinggal', 'analisis', 'iya', 'dalam', 'dukung', 'contoh', 'iya']",1,33
"['iya', 'pikir', 'sibuk', 'berani']",1,33
"['iya', 'khawatir', 'lewat']",1,33
"['analisis', 'fitur', 'wakil', '1dokumen', 'seleksi', 'fitur', 'sepenuh', 'pengaruh', 'hasil', 'akurasi']",1,33
"['iya', 'coba', 'dilist', 'pengaruh', 'seleksi', 'fitur', 'iya', 'masuk', 'dokumen', 'iya', 'evaluasi']",1,33
"['terima', 'kasih']",1,33
"['siet', 'umum', 'iya', 'terima', 'dear', 'microsoft', 'karina', 'unfortunately', 'we', 'regret', 'inform', 'you', 'that', 'your', 'paper', 'sentiment', 'analysis', 'of', 'food', 'ulas', 'using', 'naive', 'bayes', 'pearson', 'correlation', 'coefficient', 'feature', 'selection', 'for', 'siet', 'has', 'not', 'been', 'accepted', 'for', 'publication', 'we', 'hope', 'that', 'you', 'will', 'find', 'the', 'reviews', 'useful', 'when', 'revising', 'your', 'paper', 'we', 'would', 'like', 'thank', 'you', 'for', 'your', 'support', 'the', 'conference', 'baik', 'coba', 'masuk', 'iya']",1,34
"['waalaikumsaam', 'iya', 'coba', 'masuk', 'kesini']",1,34
"['oke', 'semangat']",1,34
"['terima', 'kasih']",1,34
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'jurnal', 'juita', 'unggah', 'jurnal', 'bentuk', 'bahasa', 'inggris', 'iya', 'sesuai', 'contoh', 'jurnal', 'juita', 'unggah', 'terima', 'kasih']",1,35
"['atur', 'submissionnya', 'bahasa', 'indonesia', 'bahasa', 'inggris', 'iya', 'iya', 'coba', 'kemarin', 'reviewer', 'rasa']",1,35
"['iya', 'terima', 'kasih']",1,35
"['sulit', 'bilang', 'iya']",1,35
['iya'],1,35
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'jurnal', 'coba', 'publish', 'juita', 'mohon', 'maaf', 'jurnal', 'sesuai', 'kualifikasi', 'juita', 'tunggu', 'dipublish', 'jptiik', 'terima', 'kasih', 'wassalamualaikum']",1,36
"['informasi', 'tolak', 'iya', 'iya', 'tunggu', 'dipublish', 'jptiik']",1,36
"['email', 'media', 'omitted', 'terima', 'kasih']",1,36
['oke'],1,36
"['maaf', 'izin', 'lambat', 'bimbing', 'skripsi', 'sama', 'bimbing', 'pkl', 'terima kasih', 'maaf', 'ganggu']",-1,37
"['maaf', 'izin', 'bimbing', 'badan', 'terima kasih', 'maaf', 'ganggu']",1,38
"['moga', 'lekas', 'sehat', 'iya', 'mbak', 'terima', 'kasih']",1,38
"['terima', 'kasih']",1,38
"['perihal', 'p2', 'filkom', 'apps', 'proses', 'minggu', 'p2', 'bimbing', 'filkom', 'apps', 'proses', 'iya', 'terima', 'kasih', 'maaf', 'ganggu']",1,39
"['proses', 'iya', 'mohon', 'maaf', 'lupa', 'terima', 'kasih']",1,39
"['terima', 'kasih', 'maaf', 'ganggu']",1,39
"['perhati', 'logbook', 'verifikasi', 'nilai', 'maju', 'p2', 'mahasiswa', 'isi', 'logbook', 'verifikasi', 'bimbing', 'minimum', 'logbook', 'bimbing', 'log', 'booknya', 'input', 'p2', 'coba', 'cek', 'log', 'booknya', 'iya']",1,39
"['logbook', 'penuh', 'logbook', 'dosen', 'hubung', 'terima', 'kasih']",1,39
"['kabar', 'iya']",1,39
"['terima', 'kasih', 'maaf', 'ganggu']",1,39
"['saama', 'no', 'worries']",1,39
"['maaf', 'ngabarin', 'logbook', 'penuh', 'diapprove', 'dosen']",1,39
[],1,39
"['terima', 'kasih']",1,39
"['bimbing', 'skripsi', 'iya', 'lapor', 'progres', 'skripsi', 'uji', 'terima', 'kasih', 'maaf', 'ganggu']",1,40
"['via', 'online', 'iya', 'samping', 'cuti', 'kondisi', 'kampus', 'kondusif', 'kait', 'pandemic', 'covid', 'update', 'progres', 'via', 'iya', 'discreenshoot', 'diskusi', 'sulit', 'via', 'online']",1,40
"['oiya', 'screenshot', 'hasil', 'program', 'iya']",1,40
['iya'],1,40
"['latih', 'uji']",1,40
"['latih', 'uji', 'kelas', 'negatif', 'positif']",1,40
"['iyaa', 'positif', 'negatif']",1,40
"['hitung', 'manual', 'iya', 'latih', 'uji']",1,40
"['hitung', 'manual', 'pakai', 'latih', 'uji']",1,40
"['pakai', 'banding', 'uji', 'latih', 'dan terus', 'oke', 'iya', 'data', 'ratus']",1,40
"['iyaa', 'coba', 'latih', 'uji', 'akurasi', 'ganti', 'banding', 'iya', 'program', 'pakai']",1,40
"['oke', 'coba', 'pengaruh', 'tertawa', 'skenario', 'uji', 'hasil', 'analis', 'iya', 'pakai', 'seleksi', 'fitur']",1,40
"['iya', 'iya', 'pakai', 'seleksi', 'fitur']",1,40
"['oke', 'uji', 'banding', 'pakai', 'seleksi', 'fitur', 'pakai', 'seleksi', 'fitur']",1,40
"['terima', 'kasih', 'mohon', 'maaf', 'cuti', 'iya']",1,40
"['mbak', 'update', 'iya', 'mei', 'prosedur', 'uji', 'online', 'nampaknya', 'mekanisme', 'bincang', 'kabar', 'iya', 'case', 'butuh', 'tanda tangan', 'gampang']",1,40
"['iya', 'selamat', 'lahir', 'putri', 'moga', 'bakti', 'tua']",1,40
"['iya', 'dosen', 'work', 'from', 'home']",1,40
"['iya', 'latih', 'uji', 'skenario', 'uji', 'iya', 'tambah', 'baik']",1,40
"['hasil', 'uji', 'diskusi', 'hasil', 'penngujiannya', 'letak', 'excel', 'iya']",1,40
"['iya', 'logbook', 'filkom', 'apps', 'cantum', 'iya']",1,40
"['iya', 'cantumin']",1,40
"['terima', 'kasih']",1,40
[],1,40
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'diskus', 'kait', 'bimbing', 'skripsi', 'terima', 'kasih']",1,41
"['sila', 'diskusi', 'mbak', 'via', 'online', 'iya', 'sync', 'via', 'google', 'meet', 'skype', 'besok', 'iya', 'tentatif', 'via', 'anytime', 'iya']",1,41
"['iya', 'via', 'iya']",1,41
"['sila', 'mbak', 'beberala', 'slow', 'res', 'iya']",1,41
"['latih', 'latih', 'uji', 'hasil', 'akurasi', 'dapat', 'program', 'seleksi', 'fitur', 'ubah', 'banding', 'latih', 'uji', 'hasil', 'dapat', 'seleksi', 'fitur', 'seleksi', 'fitur', 'iya', 'ohiya', 'komputasi', 'lumayan', '5menit']",1,41
"['justrus', 'rendah', 'iya', 'pakai', 'seleksi', 'fitur', 'sebab', 'tabel', 'uji', 'struktur', 'data']",1,41
"['iya', 'ubah', 'ubah', 'latih', 'terkadang', 'hasil', 'latih', 'uji', 'guna', 'seleksi', 'fitur', 'tingkat', 'akurasi', 'tabel', 'uji', 'confusion', 'matriks', 'tentu', 'latih']",-1,41
"['maaf', 'merespon', 'karakteristik', 'data', 'pengaruh', 'coba', 'hasil', 'ekstraksi', 'fitur', 'token', 'hasil', 'seleksi', 'fitur', 'potensi', 'fitur', 'kadakteristiknya', 'jenis', 'cek', 'pengaruh', 'kondisi', 'latih', 'uji', 'catat', 'pribadi']",1,42
"['iya', 'terima', 'kasih']",1,42
"['iya', 'semangat', 'iya']",1,42
['iya'],1,42
['oke'],1,42
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'diskusi', 'analisis', 'cantum', 'daftar', 'dokumen', 'skripsi', 'analisis', 'fitur', 'wakil', 'dokumen', 'seleksi', 'pengaruh', 'akurasi', 'threshold', 'akurasi', 'optimal', 'threshold', 'fitur', 'wakil', 'dokumen', 'akurasi', 'hasil', 'threshold', 'optimal', 'threshold', 'terima', 'kasih']",1,43
"['bagus', 'dokumen', 'milik', 'cenderung', 'fitur', 'dominan', 'lampir', 'iya']",1,43
"['iya', 'terima', 'kasih']",1,43
"['selesai', 'tulis', 'iya', 'lupa', 'bimbing']",1,43
"['iya', 'iya', 'aju', 'ganti', 'judul', 'judul', 'hapus', 'rekomendasi', 'lokasi', 'makan', 'tradisional', 'kemarin', 'judul', 'adaptasi', 'teliti', 'novan', 'teliti', 'skripsi', 'pakai', 'judul', 'relevan']",1,43
"['judul', 'rencana', 'ganti']",1,43
"['rencana', 'ganti', 'judul', 'analisis', 'sentimen', 'opini', 'konsumen', 'metode', 'naive', 'bayes', 'seleksi', 'fitur', 'pearson', 'correlation', 'coefficient']",1,43
"['spesifik', 'rujuk', 'objek']",1,43
"['iya', 'terima', 'kasih', 'tulis']",1,43
"['iya', 'lanjut', 'tulis', 'uji']",1,43
"['terima', 'kasih']",1,43
"['assalamaualaikum', 'kelas', 'iya']",1,44
"['wassalamualaikum', 'kelas']",1,44
['mbak'],1,44
['iya'],1,44
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'lampir', 'dokumen', 'skripsi', 'cek', 'dosen', 'beliau', 'saran', 'cek', 'aju', 'seminar hasil', 'terima', 'kasih']",1,45
[],1,45
"['lampir', 'dokumen', 'document', 'omitted']",1,45
"['document', 'omitted', 'revisi', 'revisi', 'iya', 'krusial', 'rumus', 'iya', 'coba', 'informasi', 'kandung', 'sentimen', 'positif', 'kandung', 'sentimen', 'negatif', 'hubung', 'hasil', 'seleksi', 'fitur', 'seleksi', 'fitur', 'golong', 'persen', 'pengaruh', 'sentimen', 'positif', 'persen', 'pengaruhsnya', 'sentimen', 'negatif', 'uji', 'minggu', 'selesai', 'minggu', 'maksimal', 'daftar', 'senin']",1,45
"['iya', 'terima', 'kasih']",1,45
[],1,45
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'revisi', 'dokumen', 'skripsi', 'lampir', 'dokumen', 'skripsi', 'baik', 'iya', 'tambah', 'sentimen', 'positif', 'negatif', 'letak', 'halaman', 'lampir', 'terima', 'kasih', 'document', 'omitted']",1,46
"['tuju', 'sesuai', 'rumus', 'iya', 'sila', 'proses', 'daftar', 'seminar hasil']",1,46
"['iya', 'terima', 'kasih']",1,46
"['assalamualikum', 'selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'info', 'aju', 'daftar', 'seminar hasil', 'filkomapps', 'mohon', 'tuju', 'verifikasi', 'filkomapps', 'terima', 'kasih']",1,47
['proses'],1,47
"['terima', 'kasih']",1,47
[],1,47
"['iya', 'terima', 'kasih']",1,47
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'informasi', 'pelakasanaan', 'uji', 'skripsi', 'laksana', 'jumat', 'juni', 'wib', 'harap', 'konfirmasi', 'dosen', 'bimbing', 'laksana', 'sidang', 'skripsi', 'terima', 'kasih', 'wassalamualaikum']",1,48
"['alhamdulillah', 'sukses', 'iya']",1,48
"['terima', 'kasih']",1,48
[],1,48
"['selamat', 'sore', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'filkom', 'angkat', 'aju', 'topik', 'skripsi', 'temu', 'terima', 'kasih', 'wassalamualaikum']",1,49
"['selasa', 'jam']",1,49
['terima kasih'],1,49
"['request', 'calon', 'dosen bimbing', 'dosen']",1,50
"['dosen', 'saran', 'saran', 'terima kasih']",1,50
"['tolong', 'alternatif', 'beliau']",1,50
"['alternatif', 'dosen', 'request', 'dosen', 'dosen', 'dosen']",-1,50
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'perihal', 'bimbing', 'kirim', 'email', 'periksa', 'terima', 'kasih', 'wassalamualaikum']",1,51
"['mohon', 'tunggu']",1,51
['terima kasih'],1,51
