messages,sentiment
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'informasi', 'progres', 'skripsi', 'bimbing', 'selasa', 'konsultasi', 'perihal', 'judul', 'skripsi', 'beliau', 'skripsi', 'cenderung', 'arah', 'clustering', 'kelompok', 'alangkah', 'judul', 'ubah', 'kelompok', 'opini', 'masyarakat', 'twitter', 'karantina', 'covid', 'metode', 'improved', 'means', 'denclue', 'barangkali', 'saran', 'masuk', 'kait', 'judul', 'skripsi', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",1
"['oke', 'silah', 'mmg', 'data', 'atribut', 'kelas', 'pakai', 'clustering']",1
"['terima', 'kasih']",1
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'kerja', 'skripsi', 'bimbing', 'perihal', 'dokumen', 'skripsi', 'selesai', 'kece', 'kait', 'tulis', 'kirim', 'skripsi', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum']",-1
"['mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'dosen', 'bimbing', 'mohon', 'izin', 'informasi', 'kerja', 'skripsi', 'bimbing', 'dokumen', 'skripsi', 'kodingnya', 'tahap', 'ekstraksi', 'fitur', 'barangkali', 'saran', 'masuk', 'perihal', 'tulis', 'dokumen', 'skripsi', 'mohon', 'izin', 'lampir', 'dokumen', 'skripsi', 'dokumen', 'skripsi', 'lampir', 'mohon', 'maaf', 'terima', 'kasih', 'wassalamualaikum', 'media', 'omitted']",-1
"['kirim', 'dokumen', 'skripsi']",-1
"['dokumen', 'skripsi', 'lampir', 'media', 'omitted']",1
"['media', 'omitted']",1
"['coba', 'kirim', 'format', 'pdf', 'lampir', 'format', 'pdf', 'media', 'omitted']",-1
"['permisi', 'mohon', 'maaf', 'ganggu', 'kenal', 'mahasiswi', 'teknik', 'informatika', 'filkom', 'rencana', 'semester', 'ganjil', 'ambil', 'kuliah', 'induksi', 'riset', 'buka', 'kelas', 'induksi', 'riset', 'iya', 'kelas', 'rencana', 'kelas', 'terima kasih', 'wassalamualaikum']",-1
"['buka', 'kelas', 'induksi', 'riset', 'kuota', 'penuh', 'temu', 'tatap', 'muka', 'kait', 'topik', 'usul', 'sesuai']",1
"['kenan', 'mana', 'iya', 'temu', 'konsultasi', 'topik', 'terima', 'kasih']",1
"['rapat', 'sore', 'besok', 'jam', 'iya']",1
"['terima', 'kasih']",1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'perihal', 'skripsi', 'kemarin', 'coba', 'program', 'sadar', 'parameter', 'inputkan', 'hasil', 'oleh', 'hasil', 'skripsi', 'hasil', 'oleh', 'pola', 'hasil', 'angka', 'beda', 'analisis', 'hasil', 'pola', 'besok', 'sidang', 'skripsi', 'baik', 'skripsi', 'unggah', 'filkomapps', 'terima', 'kasih', 'wassalamualaikum', 'lampir', 'skripsi', 'ubah', 'hasil', 'uji', 'document', 'omitted']",1
"['tampil', 'baru', 'bilang', 'terang', 'kemarin', 'update']",1
"['sidang', 'beritahu', 'baru']",1
"['baru', 'hasil', 'iya', 'hasil']",1
"['iyaa', 'hasil', 'terima', 'kasih']",1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'laksana', 'sidang', 'skripsi', 'jumat', 'tanggal', 'juni', 'info', 'link', 'laksana', 'sidang', 'besok', 'ketua', 'majelis', 'uji', 'terima', 'kasih', 'wassalamualaikum']",1
"['mbak', 'terima', 'kasih', 'informasi', 'sukses', 'iya']",1
"['iya', 'terima', 'kasih']",1
[],-1
"['hubung', 'dosen', 'kemarin', 'beliau', 'merespon']",1
"['iya', 'barusan', 'hubung', 'dosen']",1
"['tunggu', 'beliau']",1
"['kemarin', 'konfirmasi', 'linknya']",1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'revisi', 'skripsi', 'sidang', 'lampir', 'hasil', 'revisi', 'sedia', 'periksa', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1
"['sebentar', 'iya']",1
[],1
"['lampir', 'uji', 'iya']",1
"['iya', 'sebentar', 'lampir', 'revisi', 'nilai', 'document', 'omitted']",1
"['maaf', 'selesai', 'kelas']",1
['iya'],1
"['revisi', 'latar', 'uji', 'iya', 'kemarin', 'coba', 'cari', 'metode', 'klasifikasi', 'klasifikasi', 'naive', 'bayes', 'knn', 'hasil', 'naive', 'bayes', 'referensi']",1
"['banding', 'metode', 'naive', 'bayes', 'knn', 'latar', 'iya']",1
"['iya', 'coba', 'cari', 'referensi', 'iya']",1
"['terima', 'kasih']",1
[],1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'lampir', 'revisi', 'skripsi', 'banding', 'metode', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1
"['waalaijumsalam', 'sore', 'cek', 'iya', 'maaf', 'merespon', 'hari', 'full', 'pagi', 'rapat']",1
['iya'],1
"['cek', 'sila', 'proses', 'tahap', 'iya', 'iya', 'dosen', 'revisi']",1
"['iya', 'iya', 'perihal', 'turnitin', 'enroll', 'code', 'expired']",1
"['turnitin', 'pakai', 'class', 'enrollment', 'key', 'coba', 'iya']",1
"['terima', 'kasih']",1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'dokumen', 'skripsi', 'periksa', 'dosen', 'tuju', 'beliau', 'mohon', 'digital', 'dosen', 'bimbing', 'skripsi', 'lanjut', 'proses', 'lampir', 'dokumen', 'skripsi', 'terima', 'kasih', 'wassalamualaikum']",1
"['nyata', 'orisinalitas', 'iya']",1
"['iya', 'document', 'omitted']",1
"['sebentar', 'iya', 'mbak']",1
[],1
"['mohon', 'maaf', 'materainya', 'ditandatangani', 'materai', 'discan', 'tempel']",1
"['baik', 'materai']",1
"['document', 'omitted', 'tanda tangan', 'iya']",1
"['terima', 'kasih']",1
[],1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'kemarin', 'coba', 'turnitin', 'jurnal', 'enroll', 'class', 'hasil', 'kena', 'skripsi', 'dahulu', 'analisis', 'full', 'kena', 'plagiasi', 'iya', 'baik', 'turnitin', 'jurnal', 'terima', 'kasih', 'wassalamualaikum']",1
"['exclude', 'iya', 'sebentar', 'iya', 'giat']",1
"['terima', 'kasih', 'iya']",1
"['turnitin', 'exclude', 'sumber', 'milik', 'iya', 'sila', 'cek', 'mohon', 'maaf', 'periksa']",1
"['iya', 'terima', 'kasih']",1
[],1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'mohon', 'tuju', 'dosen', 'bimbing', 'lanjut', 'proses', 'daftar', 'yudisium', 'harap', 'tandatangan', 'digital', 'form', 'sc2', 'sc2', 'sc2', 'poin', '3a', '4a', 'terima', 'kasih', 'wassalamualaikum']",-1
"['fitur', 'ekstraksi', 'hasil', 'seleksi', 'fitur', 'banyak', 'fitur', 'fitur', 'coba', 'batas', 'fitur', 'atas', 'seleksi', 'fitur', 'atas', 'hasil', 'akurasi', 'seleksi', 'fitur', 'tabel', 'uji', 'lampir', 'mohon', 'maaf', 'ganggu', 'terima', 'kasih']",-1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'hubung', 'proses', 'unggah', 'makalah', 'skripsi', 'daftar', 'yudisium', 'mohon', 'tuju', 'dosen', 'bimbing', 'menandatangani', 'form', 'sc2', 'form', 'tuju', 'revisi', 'sc2', 'form', 'tuju', 'unggah', 'makalah', 'skripsi', 'sc2', 'poin', '3a', '4a', 'form', 'syarat', 'yudisium', 'lampir', 'form', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1
"['astagfirullah', 'sebentar', 'iya']",1
['iya'],1
"['masuk', 'siet', 'sanggup', 'tinggal', 'terjemah', 'bantu', 'cek']",1
"['jurnal', 'bentuk', 'bahasa', 'inggris', 'iya']",1
"['konferensi', 'internasional', 'ada', 'filkom', 'iya', 'bentuk', 'bahasa', 'inggris']",1
"['iya', 'sanggup']",1
"['tangan', 'siet', 'iya', 'bantu', 'cek', 'tulis']",1
['iya'],1
"['disubmit', 'siet', 'cek', 'iya']",1
"['iya', 'terima', 'kasih']",1
[],1
"['draft', 'siet', 'ready']",1
"['mohon', 'maaf', 'isi', 'pindah', 'contoh', 'siet', 'contoh', 'jptiik']",1
"['pindah', 'iya', 'terjemah', 'benah', 'koreksi', 'deadlinenya', 'agustus']",1
"['iya', 'pindah', 'lampir', 'draft', 'siet', 'document', 'omitted', 'mohon', 'maaf', 'tunggu']",1
"['besok', 'cek', 'ulang', 'iya', 'agustus', 'terima', 'kasih', 'iya']",1
"['iya', 'terima', 'kasih']",1
[],1
"['selamat', 'pagi', 'mohon', 'maaf', 'butuh', 'ngecek', 'minggu', 'kemarin', 'padat', 'betul', 'iya', 'komen', 'tulis', 'sitasinya', 'sesuai', 'contoh', 'tulis', 'sitasi', 'bentuk', '', '', 'dan terus', 'daftar', 'referensi', 'tulis', 'dasar', 'abjad', 'muncul', 'angka']",1
"['iya', 'baik', 'terima', 'kasih']",1
['sip'],1
[],-1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'perihal', 'jurnal', 'siet', 'kemarin', 'revisi', 'lampir', 'hasil', 'revisi', 'periksa', 'terima', 'kasih', 'wassalamualaikum', 'document', 'omitted']",1
"['cek', 'iya']",1
"['terima', 'kasih']",1
"['mohon', 'maaf', 'besok', 'pagi', 'tolong', 'selesai', 'koreksi', 'paper', 'iya', 'kemarin']",1
"['iya', 'besok']",1
"['terima', 'kasih']",1
['iya'],1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'perihal', 'jurnal', 'siet', 'ecek', 'jurnal', 'terima', 'kasih', 'wassalamualaikum']",1
"['terima', 'kasih', 'selesai', 'disubmit']",1
"['terima', 'kasih']",1
"['document', 'omitted', 'cek', 'iya', 'tolong', 'nomor', 'rumus', 'akurasi', 'recall', 'precission']",1
"['iya', 'terima', 'kasih']",1
"['betul', 'sila', 'disubmit', 'iya', 'dosen', 'co', 'author', 'submission']",1
['iya'],1
"['document', 'omitted', 'media', 'omitted']",1
"['iya', 'unggah', 'kemarin', 'failed', 'unggah', 'filenya', 'coba', 'terima', 'kasih']",1
"['masalah', 'iya', 'tempe']",1
"['iya', 'hehe', 'coba', 'unggah', 'dokumen', 'siet', 'error', 'tulis', 'minimal', 'halaman', 'isi', 'halaman', 'baca', 'halaman', 'iya', 'terima', 'kasih']",1
"['coba', 'kirim', 'dokumen', 'baru', 'word', 'iya', 'coba', 'unggah']",1
[],1
"['maaf', 'ganggu', 'pekan', 'kemarin', 'coba', 'utak', 'atik', 'aneh', 'aneh', 'dokumen', 'page', 'break', 'section', 'breaknya', 'coba', 'utak', 'atik', 'mentok', 'deteksi', 'halaman', 'alternatif', 'coba', 'copy', 'paste', 'contoh', 'iya', 'ctrl', 'copy', 'paste', 'section', 'iya', 'coba', 'betul', 'iya']",1
"['iya', 'betul']",1
"['iya', 'coba', 'unggah', 'hasil', 'iya']",1
"['coba', 'baik', 'copy', 'paste', 'section', 'contoh', 'coba', 'unggah', 'errornya', 'baca', 'halaman']",1
"['aneh', 'iya', 'unggah', 'paper', 'pakai', 'word', 'coba', 'iya', 'uji', 'masuk', 'buku', 'iya']",1
"['masuk', 'halaman', 'isi', 'iya', 'baca', 'halaman']",1
['seharunsya'],1
"['iya', 'coba', 'baik', 'ulang', 'error']",1
"['coba', 'solusi', 'halaman', 'coba', 'referensi', 'kait', 'preprocessing', 'tata', 'contoh', 'contoh', 'masuk', 'tabel']",1
"['iya', 'baik']",1
['iya'],1
"['tabel', 'halaman', 'bawah', 'tulis', 'error', 'unggah', 'dokumen', 'baca', '3halaman']",1
"['sungguh', 'aneh', 'coba', 'kirim', 'baru', 'iya', 'filenya']",1
['sebentar'],1
"['besok', 'intip', 'iya', 'insyallah']",1
"['iya', 'terima', 'kasih']",1
"['mentok', 'filenya', 'tambah', 'halaman', 'kirim', 'filenya', 'panitia', 'tolong', 'bantu', 'tunggu', 'respons', 'internal', 'tunggu', 'tanggal', 'panitia', 'respons', 'barangkali', 'utek', 'utek', 'sila', 'iya']",1
"['terima', 'kasih', 'coba', 'utek', 'utek', 'maaf', 'iya', 'repot', 'coba', 'coba', 'unggah', 'tunggu', 'respon', 'panitia']",1
"['paralel', 'hasil']",1
"['informasi', 'jurnal', 'hasil', 'diupload', 'terima', 'kasih', 'bantu', 'mohon', 'maaf', 'repot', 'ganggu']",1
"['lho', 'iya', 'alhamdulillah', 'apa', 'dokumen']",1
"['iya', 'dokumen', 'rapihkan', 'edit', 'tipo', 'tipo']",1
"['oke', 'alhamdulillah', 'iya']",1
"['iya', 'alhamdulillah', 'hehe', 'terima', 'kasih', 'iya', 'bantu', 'bingung']",1
['alhamdulillah'],1
['iya'],1
"['maaf', 'pesan', 'tenggelam', 'besok', 'besok', 'jam', 'balas', 'bagus', 'hasil', 'tinggal', 'analisis', 'iya', 'dalam', 'dukung', 'contoh', 'iya']",1
"['iya', 'pikir', 'sibuk', 'berani']",1
"['iya', 'khawatir', 'lewat']",1
"['analisis', 'fitur', 'wakil', '1dokumen', 'seleksi', 'fitur', 'sepenuh', 'pengaruh', 'hasil', 'akurasi']",1
"['iya', 'coba', 'dilist', 'pengaruh', 'seleksi', 'fitur', 'iya', 'masuk', 'dokumen', 'iya', 'evaluasi']",1
"['terima', 'kasih']",1
"['siet', 'umum', 'iya', 'terima', 'dear', 'microsoft', 'karina', 'unfortunately', 'we', 'regret', 'inform', 'you', 'that', 'your', 'paper', 'sentiment', 'analysis', 'of', 'food', 'ulas', 'using', 'naive', 'bayes', 'pearson', 'correlation', 'coefficient', 'feature', 'selection', 'for', 'siet', 'has', 'not', 'been', 'accepted', 'for', 'publication', 'we', 'hope', 'that', 'you', 'will', 'find', 'the', 'reviews', 'useful', 'when', 'revising', 'your', 'paper', 'we', 'would', 'like', 'thank', 'you', 'for', 'your', 'support', 'the', 'conference', 'baik', 'coba', 'masuk', 'iya']",1
"['waalaikumsaam', 'iya', 'coba', 'masuk', 'kesini']",1
"['oke', 'semangat']",1
"['terima', 'kasih']",1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'jurnal', 'juita', 'unggah', 'jurnal', 'bentuk', 'bahasa', 'inggris', 'iya', 'sesuai', 'contoh', 'jurnal', 'juita', 'unggah', 'terima', 'kasih']",1
"['atur', 'submissionnya', 'bahasa', 'indonesia', 'bahasa', 'inggris', 'iya', 'iya', 'coba', 'kemarin', 'reviewer', 'rasa']",1
"['iya', 'terima', 'kasih']",1
"['sulit', 'bilang', 'iya']",1
['iya'],1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'jurnal', 'coba', 'publish', 'juita', 'mohon', 'maaf', 'jurnal', 'sesuai', 'kualifikasi', 'juita', 'tunggu', 'dipublish', 'jptiik', 'terima', 'kasih', 'wassalamualaikum']",1
"['informasi', 'tolak', 'iya', 'iya', 'tunggu', 'dipublish', 'jptiik']",1
"['email', 'media', 'omitted', 'terima', 'kasih']",1
['oke'],1
"['maaf', 'izin', 'lambat', 'bimbing', 'skripsi', 'sama', 'bimbing', 'pkl', 'terima kasih', 'maaf', 'ganggu']",-1
"['maaf', 'izin', 'bimbing', 'badan', 'terima kasih', 'maaf', 'ganggu']",1
"['moga', 'lekas', 'sehat', 'iya', 'mbak', 'terima', 'kasih']",1
"['terima', 'kasih']",1
"['perihal', 'p2', 'filkom', 'apps', 'proses', 'minggu', 'p2', 'bimbing', 'filkom', 'apps', 'proses', 'iya', 'terima', 'kasih', 'maaf', 'ganggu']",1
"['proses', 'iya', 'mohon', 'maaf', 'lupa', 'terima', 'kasih']",1
"['terima', 'kasih', 'maaf', 'ganggu']",1
"['perhati', 'logbook', 'verifikasi', 'nilai', 'maju', 'p2', 'mahasiswa', 'isi', 'logbook', 'verifikasi', 'bimbing', 'minimum', 'logbook', 'bimbing', 'log', 'booknya', 'input', 'p2', 'coba', 'cek', 'log', 'booknya', 'iya']",1
"['logbook', 'penuh', 'logbook', 'dosen', 'hubung', 'terima', 'kasih']",1
"['kabar', 'iya']",1
"['terima', 'kasih', 'maaf', 'ganggu']",1
"['saama', 'no', 'worries']",1
"['maaf', 'ngabarin', 'logbook', 'penuh', 'diapprove', 'dosen']",1
[],1
"['terima', 'kasih']",1
"['bimbing', 'skripsi', 'iya', 'lapor', 'progres', 'skripsi', 'uji', 'terima', 'kasih', 'maaf', 'ganggu']",1
"['via', 'online', 'iya', 'samping', 'cuti', 'kondisi', 'kampus', 'kondusif', 'kait', 'pandemic', 'covid', 'update', 'progres', 'via', 'whatsapp', 'iya', 'discreenshoot', 'diskusi', 'sulit', 'via', 'online']",1
"['oiya', 'screenshot', 'hasil', 'program', 'iya']",1
['iya'],1
"['latih', 'uji']",1
"['latih', 'uji', 'kelas', 'negatif', 'positif']",1
"['iyaa', 'positif', 'negatif']",1
"['hitung', 'manual', 'iya', 'latih', 'uji']",1
"['hitung', 'manual', 'pakai', 'latih', 'uji']",1
"['pakai', 'banding', 'uji', 'latih', 'dan terus', 'oke', 'iya', 'data', 'ratus']",1
"['iyaa', 'coba', 'latih', 'uji', 'akurasi', 'ganti', 'banding', 'iya', 'program', 'pakai']",1
"['oke', 'coba', 'pengaruh', 'tertawa', 'skenario', 'uji', 'hasil', 'analis', 'iya', 'pakai', 'seleksi', 'fitur']",1
"['iya', 'iya', 'pakai', 'seleksi', 'fitur']",1
"['oke', 'uji', 'banding', 'pakai', 'seleksi', 'fitur', 'pakai', 'seleksi', 'fitur']",1
"['terima', 'kasih', 'mohon', 'maaf', 'cuti', 'iya']",1
"['mbak', 'update', 'iya', 'mei', 'prosedur', 'uji', 'online', 'nampaknya', 'mekanisme', 'bincang', 'kabar', 'iya', 'case', 'butuh', 'tanda tangan', 'gampang']",1
"['iya', 'selamat', 'lahir', 'putri', 'moga', 'bakti', 'tua']",1
"['iya', 'dosen', 'work', 'from', 'home']",1
"['iya', 'latih', 'uji', 'skenario', 'uji', 'iya', 'tambah', 'baik']",1
"['hasil', 'uji', 'diskusi', 'hasil', 'penngujiannya', 'letak', 'excel', 'iya']",1
"['iya', 'logbook', 'filkom', 'apps', 'cantum', 'iya']",1
"['iya', 'cantumin']",1
"['terima', 'kasih']",1
[],1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'diskus', 'kait', 'bimbing', 'skripsi', 'terima', 'kasih']",1
"['sila', 'diskusi', 'mbak', 'via', 'online', 'iya', 'sync', 'via', 'google', 'meet', 'skype', 'besok', 'iya', 'tentatif', 'via', 'whatsapp', 'anytime', 'iya']",1
"['iya', 'via', 'whatsapp', 'iya']",1
"['sila', 'mbak', 'beberala', 'slow', 'res', 'iya']",1
"['latih', 'latih', 'uji', 'hasil', 'akurasi', 'dapat', 'program', 'seleksi', 'fitur', 'ubah', 'banding', 'latih', 'uji', 'hasil', 'dapat', 'seleksi', 'fitur', 'seleksi', 'fitur', 'iya', 'ohiya', 'komputasi', 'lumayan', '5menit']",1
"['justrus', 'rendah', 'iya', 'pakai', 'seleksi', 'fitur', 'sebab', 'tabel', 'uji', 'struktur', 'data']",1
"['iya', 'ubah', 'ubah', 'latih', 'terkadang', 'hasil', 'latih', 'uji', 'guna', 'seleksi', 'fitur', 'tingkat', 'akurasi', 'tabel', 'uji', 'confusion', 'matriks', 'tentu', 'latih']",-1
"['maaf', 'merespon', 'karakteristik', 'data', 'pengaruh', 'coba', 'hasil', 'ekstraksi', 'fitur', 'token', 'hasil', 'seleksi', 'fitur', 'potensi', 'fitur', 'kadakteristiknya', 'jenis', 'cek', 'pengaruh', 'kondisi', 'latih', 'uji', 'catat', 'pribadi']",1
"['iya', 'terima', 'kasih']",1
"['iya', 'semangat', 'iya']",1
['iya'],1
['oke'],1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'diskusi', 'analisis', 'cantum', 'daftar', 'dokumen', 'skripsi', 'analisis', 'fitur', 'wakil', 'dokumen', 'seleksi', 'pengaruh', 'akurasi', 'threshold', 'akurasi', 'optimal', 'threshold', 'fitur', 'wakil', 'dokumen', 'akurasi', 'hasil', 'threshold', 'optimal', 'threshold', 'terima', 'kasih']",1
"['bagus', 'dokumen', 'milik', 'cenderung', 'fitur', 'dominan', 'lampir', 'iya']",1
"['iya', 'terima', 'kasih']",1
"['selesai', 'tulis', 'iya', 'lupa', 'bimbing']",1
"['iya', 'iya', 'aju', 'ganti', 'judul', 'judul', 'hapus', 'rekomendasi', 'lokasi', 'makan', 'tradisional', 'kemarin', 'judul', 'adaptasi', 'teliti', 'novan', 'teliti', 'skripsi', 'pakai', 'judul', 'relevan']",1
"['judul', 'rencana', 'ganti']",1
"['rencana', 'ganti', 'judul', 'analisis', 'sentimen', 'opini', 'konsumen', 'metode', 'naive', 'bayes', 'seleksi', 'fitur', 'pearson', 'correlation', 'coefficient']",1
"['spesifik', 'rujuk', 'objek']",1
"['iya', 'terima', 'kasih', 'tulis']",1
"['iya', 'lanjut', 'tulis', 'uji']",1
"['terima', 'kasih']",1
"['assalamaualaikum', 'kelas', 'iya']",1
"['wassalamualaikum', 'kelas']",1
['mbak'],1
['iya'],1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'lampir', 'dokumen', 'skripsi', 'cek', 'dosen', 'beliau', 'saran', 'cek', 'aju', 'seminar hasil', 'terima', 'kasih']",1
[],1
"['lampir', 'dokumen', 'document', 'omitted']",1
"['document', 'omitted', 'revisi', 'revisi', 'iya', 'krusial', 'rumus', 'iya', 'coba', 'informasi', 'kandung', 'sentimen', 'positif', 'kandung', 'sentimen', 'negatif', 'hubung', 'hasil', 'seleksi', 'fitur', 'seleksi', 'fitur', 'golong', 'persen', 'pengaruh', 'sentimen', 'positif', 'persen', 'pengaruhsnya', 'sentimen', 'negatif', 'uji', 'minggu', 'selesai', 'minggu', 'maksimal', 'daftar', 'senin']",1
"['iya', 'terima', 'kasih']",1
[],1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'kait', 'revisi', 'dokumen', 'skripsi', 'lampir', 'dokumen', 'skripsi', 'baik', 'iya', 'tambah', 'sentimen', 'positif', 'negatif', 'letak', 'halaman', 'lampir', 'terima', 'kasih', 'document', 'omitted']",1
"['tuju', 'sesuai', 'rumus', 'iya', 'sila', 'proses', 'daftar', 'seminar hasil']",1
"['iya', 'terima', 'kasih']",1
"['assalamualikum', 'selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'info', 'aju', 'daftar', 'seminar hasil', 'filkomapps', 'mohon', 'tuju', 'verifikasi', 'filkomapps', 'terima', 'kasih']",1
['proses'],1
"['terima', 'kasih']",1
[],1
"['iya', 'terima', 'kasih']",1
"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', 'informasi', 'pelakasanaan', 'uji', 'skripsi', 'laksana', 'jumat', 'juni', 'wib', 'harap', 'konfirmasi', 'dosen', 'bimbing', 'laksana', 'sidang', 'skripsi', 'terima', 'kasih', 'wassalamualaikum']",1
"['alhamdulillah', 'sukses', 'iya']",1
"['terima', 'kasih']",1
[],1
"['selamat', 'sore', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', 'filkom', 'angkat', 'aju', 'topik', 'skripsi', 'temu', 'terima', 'kasih', 'wassalamualaikum']",1
"['whatsapp', 'selasa', 'jam']",1
['terima kasih'],1
"['request', 'calon', 'dosen bimbing', 'dosen']",1
"['whatsapp', 'dosen', 'saran', 'saran', 'terima kasih']",1
"['tolong', 'alternatif', 'beliau']",1
"['alternatif', 'dosen', 'request', 'dosen', 'dosen', 'dosen']",-1
"['selamat', 'siang', 'mohon', 'maaf', 'ganggu', 'perihal', 'bimbing', 'kirim', 'email', 'periksa', 'terima', 'kasih', 'wassalamualaikum']",1
"['whatsapp', 'mohon', 'tunggu']",1
['terima kasih'],1
"['isi', 'logbook', 'minimal', 'dosen bimbing', 'p1', 'terima kasih']",1
"['follow', 'dosen', 'kirim', 'email', 'balas', 'balas']",1
"['selamat', 'sore', 'mohon', 'maaf', 'ganggu', 'perihal', 'p1', 'bimbing', 'dosen', '3kali', 'p1', 'terima', 'kasih', 'wassalamualaikum']",1
"['whatsapp', 'hasil', 'run', 'koding', 'nilai', 'fitness', 'gbest', 'excel', 'manual', 'silah', 'video', 'presentasi', 'p1', 'durasi', 'minimal', 'menit', 'menit', 'unggah', 'google', 'drive', 'link', 'public', 'email', 'dosen bimbing', 'subject', 'video', 'presentasi', 'p1', 'daring', 'dosen bimbing', 'audio', 'record', 'wajah', 'wajib', 'tools', 'camtasia', 'screen', 'matic']",1
